NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010030,10,DO2026000030,1,,MD000025,"Plate Water Jacket Rotor Housing, SUS304, DD105",QM665200,장OO,34,30,30
2,4500010030,20,DO2026000030,2,,MD000262,"Retainer, RD700 NDE Bearing",QM665200,김OO,9,30,30
3,4500010030,30,DO2026000030,3,,MD000314,BEARING STOPPER,QM665200,박OO,66,30,30
4,4500010030,40,DO2026000030,4,,MD000315,"OIL RING, PUSHER",QM665200,박OO,97,30,30
5,4500010030,50,DO2026000030,5,,MD000318,PUSHER-SPLASHER,QM665200,김OO,77,30,30
6,4500010030,60,DO2026000030,6,,MD000339,"Spacer, MK1400 Motor Rotator",QM665200,이OO,43,30,30
7,4500010030,70,DO2026000030,7,,MD000348,"Pusher, MK3000 Splasher",QM665200,박OO,70,30,30
8,4500010030,80,DO2026000030,8,,MD000427,COVER-GEROTOR,QM665200,박OO,63,30,30
9,4500010030,90,DO2026000030,9,,MD000525,"Tongue Shim-L, MK3000",QM665200,이OO,9,30,30
10,4500010030,100,DO2026000030,10,,MD000526,"Tongue Shim-R, MK3000",QM665200,김OO,37,30,30
11,4500010030,110,DO2026000030,11,,MD000763,ORIFICE_PLATE*TUBE 1/4_D0.8_SUS304_NONE,QM665200,박OO,63,30,30
12,4500010030,120,DO2026000030,12,,MD000820,HOLDER_PISTON RING_ID35.0*OD44.6*L16.16_12L14_NONE,QM665200,장OO,39,30,30
13,4500010030,130,DO2026000030,13,,MD000823,RETAINER_BEARING_MK1400 REV-3_6207_S45C_NONE,QM665200,장OO,52,30,30
14,4500010030,140,DO2026000030,14,,MD000854,OIL RING_6214_S45C_NONE,QM665200,박OO,52,30,30
15,4500010030,150,DO2026000030,15,,MD000999,DUCT_OIL SPLASH GEAR SIDE_WS1001_A6061_NONE,QM665200,박OO,39,30,30
16,4500010030,160,DO2026000030,16,,MD001003,DUCT_OIL SPLASH MOTOR SIDE_WS1001_A6061_NONE,QM665200,박OO,71,30,30
17,4500010030,170,DO2026000030,17,,MD001004,DUCT_OIL SPLASH MOTOR SIDE_WS501_A6061_NONE,QM665200,장OO,58,30,30
18,4500010030,180,DO2026000030,18,,MD001005,DUCT_OIL SPLASH GEAR SIDE_WS501_A6061_NONE,QM665200,김OO,10,30,30
19,4500010030,190,DO2026000030,19,,MD001007,DUCT_OIL SPLASH MOTOR SIDE_WS2001_A6061_NONE,QM665200,김OO,41,30,30
20,4500010030,200,DO2026000030,20,,SA000795,GEROTOR_SMF5030_비전분말야금,QM665200,김OO,33,30,30
