Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010001,10,DO2026000001,1,,MD000045,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,QM665200,장OO,1,1,1
,2,4500010001,20,DO2026000001,2,,MD000097,"Cover, HD NDEC Filter, 109x127x5t, S45C",QM665200,장OO,1,1,1
,3,4500010001,30,DO2026000001,3,,MD000115,"Retainer, HD DE Bearing, S45C",QM665200,박OO,1,1,1
,4,4500010001,40,DO2026000001,4,,MD000184,"Slinger, HD550 Rev1 Motor Side",QM665200,이OO,1,1,1
,5,4500010001,50,DO2026000001,5,,MD000185,"Slinger, HD550 Rev1 Gear Side",QM665200,이OO,1,1,1
,6,4500010001,60,DO2026000001,6,,MD000187,"Holder, HD550 Rev1 Piston Ring Motor Side",QM665200,장OO,1,1,1
,7,4500010001,70,DO2026000001,7,,MD000188,"Holder, HD550 Rev1 Piston Ring Gear Side",QM665200,박OO,1,1,1
,8,4500010001,80,DO2026000001,8,,MD000190,"Slinger, HD DE, 15.240±0.005",QM665200,장OO,1,1,1
,9,4500010001,90,DO2026000001,9,,MD001146,RING_LABYRINTH_ID50.00*OD70.00*L11.2_S45C_NONE,QM665200,김OO,1,1,1
,10,4500010001,100,DO2026000001,10,,MD001147,SLINGER_ID40.02*OD49.6*L15.260_S45C_NONE,QM665200,이OO,1,1,1
,11,4500010001,110,DO2026000001,11,,MD001155,SLINGER_ID30.0*OD56.4*L10.1_S45C_NONE,QM665200,이OO,1,1,1
,12,4500010001,120,DO2026000001,12,,MD000266,LOCK NUT_FORCED DRIVE_M45X1.5P,QM665200,김OO,1,1,1
,13,4500010001,130,DO2026000001,13,,MD000326,"Oil Ring, MK700 Rev.2, S45C",QM665200,박OO,1,1,1
,14,4500010001,140,DO2026000001,14,,MD000333,BEARING STOPPER,QM665200,김OO,1,1,1
,15,4500010001,150,DO2026000001,15,,MD000344,"Retainer, MK3000 Bearing",QM665200,김OO,1,1,1
,16,4500010001,160,DO2026000001,16,,MD000345,"OIL RING, Pusher, MK3000",QM665200,김OO,1,1,1
,17,4500010001,170,DO2026000001,17,,MD000060,BLOCK_TUBE SUPPORT LOWER_3/8_A6061_NONE,QM665200,이OO,1,1,1
,18,4500010001,180,DO2026000001,18,,MD000061,BLOCK_TUBE SUPPORT UPPER_3/8_A6061_NONE,QM665200,김OO,1,1,1
,19,4500010001,190,DO2026000001,19,,MD000062,"Orifice, Tube Type, D0.3 Tube 1/4",QM665200,이OO,1,1,1
,20,4500010001,200,DO2026000001,20,,MD000011,"Plate Water Jacket Rotor Housing, DD255",QM665200,장OO,1,1,1
