NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010025,10,DO2026000025,1,,MD000326,"Oil Ring, MK700 Rev.2, S45C",QM665200,김OO,56,25,25
2,4500010025,20,DO2026000025,2,,MD000333,BEARING STOPPER,QM665200,장OO,91,25,25
3,4500010025,30,DO2026000025,3,,MD000344,"Retainer, MK3000 Bearing",QM665200,박OO,5,25,25
4,4500010025,40,DO2026000025,4,,MD000345,"OIL RING, Pusher, MK3000",QM665200,이OO,95,25,25
5,4500010025,50,DO2026000025,5,,MD000060,BLOCK_TUBE SUPPORT LOWER_3/8_A6061_NONE,QM665200,박OO,92,25,25
6,4500010025,60,DO2026000025,6,,MD000061,BLOCK_TUBE SUPPORT UPPER_3/8_A6061_NONE,QM665200,박OO,89,25,25
7,4500010025,70,DO2026000025,7,,MD000062,"Orifice, Tube Type, D0.3 Tube 1/4",QM665200,이OO,95,25,25
8,4500010025,80,DO2026000025,8,,MD000011,"Plate Water Jacket Rotor Housing, DD255",QM665200,이OO,84,25,25
9,4500010025,90,DO2026000025,9,,MD000025,"Plate Water Jacket Rotor Housing, SUS304, DD105",QM665200,장OO,43,25,25
10,4500010025,100,DO2026000025,10,,MD000262,"Retainer, RD700 NDE Bearing",QM665200,이OO,48,25,25
11,4500010025,110,DO2026000025,11,,MD000314,BEARING STOPPER,QM665200,이OO,61,25,25
12,4500010025,120,DO2026000025,12,,MD000315,"OIL RING, PUSHER",QM665200,김OO,81,25,25
13,4500010025,130,DO2026000025,13,,MD000318,PUSHER-SPLASHER,QM665200,김OO,59,25,25
14,4500010025,140,DO2026000025,14,,MD000339,"Spacer, MK1400 Motor Rotator",QM665200,장OO,76,25,25
15,4500010025,150,DO2026000025,15,,MD000348,"Pusher, MK3000 Splasher",QM665200,이OO,70,25,25
16,4500010025,160,DO2026000025,16,,MD000427,COVER-GEROTOR,QM665200,김OO,20,25,25
17,4500010025,170,DO2026000025,17,,MD000525,"Tongue Shim-L, MK3000",QM665200,박OO,30,25,25
18,4500010025,180,DO2026000025,18,,MD000526,"Tongue Shim-R, MK3000",QM665200,이OO,62,25,25
19,4500010025,190,DO2026000025,19,,MD000763,ORIFICE_PLATE*TUBE 1/4_D0.8_SUS304_NONE,QM665200,박OO,59,25,25
