Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010057,10,DO2026000057,1,,MD000379,"Oil Feed Block, DD105-255, A6061-T6",QM665200,박OO,57,57,57
,2,4500010057,20,DO2026000057,2,,MD000667,"SPLASH, RING",QM665200,박OO,57,57,57
,3,4500010057,30,DO2026000057,3,,MD000720,"Oil Feed Block, DD 1855PW (MD000720)",QM665200,장OO,57,57,57
,4,4500010057,40,DO2026000057,4,,MD000906,BLOCK_DD100KHF_BASE_A6061_NONE,QM665200,이OO,57,57,57
,5,4500010057,50,DO2026000057,5,,MD000912,COLUMN_SUPPORT_XD1800_OD40.0*L26.0-M8_SUS316_NONE,QM665200,장OO,57,57,57
,6,4500010057,60,DO2026000057,6,,MD000964,SLINGER_ID40.0*D74.0*L22.0_HD2000EM_S45C_NONE,QM665200,김OO,57,57,57
,7,4500010057,70,DO2026000057,7,,MD001105,SLINGER_ID40.0*D74.0*L22.0_사각 GROOVE_HD2000EM_S45C_NONE,QM665200,김OO,57,57,57
,8,4500010057,80,DO2026000057,8,,MD001174,"BODY_I-PEL_HD550 SHAFT(Y, NDE)_G1/4''*L17_S45C_NONE",QM665200,박OO,57,57,57
,9,4500010057,90,DO2026000057,9,,MD001319,SPACER_IPEL_SPLASH DISK_HD200_A6061_NONE,QM665200,이OO,57,57,57
,10,4500010057,100,DO2026000057,10,,803A030,Stud BOLT,QM665200,박OO,57,57,57
,11,4500010057,110,DO2026000057,11,,MC000001,"Adapter, HD4500 Rev2 Casting Type",QM665200,박OO,57,57,57
,12,4500010057,120,DO2026000057,12,,MC000004,"Adapter, HD5500 Casting Type",QM665200,이OO,57,57,57
,13,4500010057,130,DO2026000057,13,,MC000005,"Adaptor, HD2400/3000 BP To DP Casting Type, None, GC250",QM665200,이OO,57,57,57
,14,4500010057,140,DO2026000057,14,,MC000006,"Adapter, RD3009L Casting Type",QM665200,박OO,57,57,57
,15,4500010057,150,DO2026000057,15,,MC000013,"Adaptor, XD1200 DP To BP Casting Type.",QM665200,김OO,57,57,57
,16,4500010057,160,DO2026000057,16,,MC000014,"Adaptor, HD3000 BP To DP Casting Type, None, GC250",QM665200,김OO,57,57,57
